Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
899,7.95678391508217E-05,0.000121111286916475,0.000158600425567688,0.000166838037150361,0.000176369376193134,0.000178877623309653,0.000194613573640657,0.00019580169069585,0.00021255647081536,0.000222811551750577,0.000215339615603473,0.000211669654032987,0.000285494356869026,0.000297479661113357,0.00030223212933413,0.000313942459525185,0.000306083802924822,0.000316831214718204
900,4.56926743873911E-05,8.19074779154861E-05,0.000138886132487813,0.000151147326742593,0.000151127427590436,0.000162605921860328,0.000181364189294745,0.000182269600717941,0.000190364653851768,0.00020542226425395,0.000197844003807054,0.000197174065684396,0.000285699630493578,0.000290270103069306,0.000294659621927722,0.000290437880234561,0.000297773253971291,0.00028822166093538
901,8.3124005052393E-05,9.41195680440053E-05,0.000139186458945065,0.000154908223666649,0.000156478564945812,0.000157637656158241,0.00017125645654263,0.00017481881640062,0.00017828409258637,0.000189442384950083,0.000192546780737814,0.000198949935935081,0.000247599261240462,0.000266598584604949,0.000263343325157729,0.000273108612806075,0.00027203546652765,0.000275719101238275
902,9.79235966092422E-05,0.00010103624385895,0.000151413466549623,0.000165140721030091,0.000162361276932807,0.000167608977366482,0.000184916765722272,0.000198345329942285,0.000192264487317685,0.000207454758011124,0.00020495900717377,0.000215535641793963,0.000290046497447,0.000297231728638702,0.00029177546697714,0.000296681838619456,0.000291798991683845,0.000307228258694473
903,0.000102279026449376,0.000127878756726832,0.000145638175508629,0.000159394069815121,0.000164057883295746,0.000170669999810486,0.00019248493689194,0.00019392176831779,0.000191295132001353,0.000202529297093721,0.000203461386800888,0.000214262859580692,0.000298365793225085,0.000292991681109062,0.000301404043087102,0.000299119839387653,0.000311059455258604,0.000313866215090336
904,6.85743248560581E-05,0.000112437069456451,0.000140351158041174,0.000147594198436908,0.00015225878418329,0.000164483055224062,0.000176845329255426,0.000184237379015233,0.000180196745079612,0.000193307477409096,0.00019681851055008,0.000200459926884627,0.000268573556213229,0.000271831029647502,0.000281802505207263,0.000283565019042344,0.000270851910630896,0.000282439978422551
905,7.32985352221921E-05,0.000106503934910092,0.000148579341893303,0.000166133105191331,0.000167084738711178,0.000169891358798421,0.000193708878108265,0.00019228841579159,0.000171948734714103,0.000195937403066628,0.000201639580953249,0.000204395379490699,0.000279922596831785,0.000274126955321628,0.000276337692737564,0.000269780218062979,0.000277345155224609,0.000283901135147728
906,0.000107077145000228,0.000130212198709018,0.000173542747376402,0.000189571343596598,0.000191614270996995,0.000197236598834267,0.00021507884919552,0.000216338141127422,0.000220041940927136,0.000242950949155704,0.000239121743525815,0.000240747188274874,0.000317790576667671,0.000305132715456218,0.000303864566611751,0.000315036354051105,0.000309581301085222,0.000316046847257332
907,9.6910209821681E-05,0.000116380956205262,0.000160122459908975,0.000159866082656233,0.000167954246372559,0.0001718111082033,0.000192497951739649,0.000199960899668197,0.000215494268942638,0.000203433841949034,0.00019812273939896,0.000195568015480464,0.00029426556540887,0.000301614721169585,0.000301506746172384,0.000309853771073313,0.000304638021091189,0.000309704735161684
908,5.90597921163862E-05,0.00011393525466123,0.000149901329430858,0.000158238657259966,0.000167095452818043,0.000176381261525416,0.000190710559153591,0.000189075915678107,0.000201406623169062,0.000206058116907205,0.000207905974749056,0.000207068623782959,0.000294542989850622,0.000293594282181704,0.000292636527808717,0.000304277044053106,0.000298279677384161,0.000301826409054287
909,8.67368665201196E-05,0.000118228967894215,0.000146756632605689,0.000165804035872646,0.000171221855934548,0.000179530799706614,0.000197932645938649,0.000195968208939907,0.000198848716278845,0.000210059400132299,0.00022491068267226,0.00022049590553021,0.000310483005805392,0.000311239338582694,0.000306498720508407,0.000316139202225369,0.000310500275816591,0.000308111592290788
910,7.96174921504855E-05,0.000120400580180617,0.000162884718458478,0.000183330943243625,0.00017322383129297,0.000188881487929621,0.00019321697713925,0.000195561016200992,0.000180504757668006,0.000205922411606248,0.000215778298494368,0.000221508851399084,0.000267750407204663,0.0002739106214302,0.000292096488872646,0.00028298402256344,0.000281195248716643,0.000293141996345171
911,0.00010069404493227,0.000147325868775542,0.000172691209546989,0.000173231966147411,0.000181812058163314,0.000195588912762936,0.000202654100694847,0.000214334705131573,0.000210797258912972,0.000231930898722556,0.000225504667742234,0.000232326318803253,0.000310568537921293,0.000303932782555578,0.000305471639823266,0.00030596764787151,0.000318865397523515,0.00031803512318189
912,7.49555714389727E-05,9.33572060937773E-05,0.00013652200764797,0.000144629643207636,0.000154401106586503,0.000162907073806276,0.000166774063462343,0.000179859082243857,0.000182826145088441,0.000192514043834814,0.000191481201565692,0.000192168588058794,0.000261825197389434,0.000268194778334342,0.000264072532939812,0.000271483450968008,0.000279404465760317,0.000280615427184062
913,0.000104531536498959,0.00011632732555922,0.000172343029757289,0.000174475116723695,0.000182975907909744,0.000188630360773329,0.000197892071885684,0.000207751140697195,0.000199218583509549,0.000232734826431747,0.00022961514362641,0.000224521602530931,0.000313588747360099,0.000294589793899078,0.000316487157666183,0.000316651870267053,0.000308587227590164,0.000311316750690298
914,6.89626025056747E-05,0.000121321891326282,0.000171068957621441,0.000182453136743111,0.00018227927122551,0.000191169148883139,0.000206954800454224,0.00020843265735383,0.000210676230580498,0.000233332874328367,0.000233046664937855,0.000232928971356709,0.000333549923374892,0.000313236431198131,0.000322588979945811,0.000335752409088321,0.000320409760562308,0.000339961370713496
915,9.85955352137524E-05,0.000157943908563907,0.000187243300711312,0.000192611043004273,0.000198364772142226,0.000206957488635393,0.000223890406863322,0.000225621936635245,0.000223795979075516,0.000243546877128339,0.000249239281253535,0.000261359989656995,0.000321137270268106,0.000324470854687171,0.000312418049412021,0.000330560916507537,0.000326104773712147,0.000334558713186829
916,5.80770786270746E-05,0.00011140856999985,0.000152604106189038,0.00016554027084301,0.000170304698385973,0.000182168594693451,0.000191604011843939,0.000200264710578263,0.000208143540306276,0.000212834380805852,0.000210093837087785,0.00021318862851254,0.000297974513022241,0.000312387938512609,0.00031501124456982,0.000310793997261003,0.000309235275334007,0.000317516085626076
917,0.000107477758053954,0.000111065583359332,0.00015713390828494,0.000160387071229902,0.000168708893924749,0.000178848941443761,0.000190984535037608,0.000196454213615929,0.000208021095433875,0.000218690298449792,0.000220080224253112,0.000212226256858106,0.000301922411463419,0.000300943849653112,0.000305153022870344,0.000299412949443718,0.000295118726214852,0.000315663920534421
918,7.05480250331626E-05,0.000113094379046414,0.000153796367119115,0.000171204568971891,0.000186519076710479,0.000182644454738175,0.000205060596291148,0.000209498197524386,0.000210005766292894,0.000224948850574442,0.000230276915736737,0.000226759215256658,0.000297770365763485,0.000313584426626215,0.000311831204014313,0.000312367993159686,0.00032108215888255,0.000322294263404359
919,8.07241967725318E-05,9.46153278075321E-05,0.000157418049587646,0.00017317502594383,0.000170608839575483,0.000175392455188577,0.000191371451994798,0.000191723446916627,0.000206418071744416,0.000214824212200397,0.000203620042697789,0.000221916377951274,0.000300087784168318,0.000297295177619704,0.000308734128306548,0.00030685076365562,0.000305527347639712,0.000316355742088954
920,7.20588164847893E-05,0.000129655348189064,0.000164734475075813,0.000174415733940159,0.000173242627540469,0.000184766345329121,0.000198737861643342,0.000212065073968171,0.000208759076608302,0.000221985685502443,0.000221550119306591,0.000226882674138871,0.000319656266322408,0.000311042232601655,0.00031734365822779,0.000326528121143513,0.000322170003446249,0.000326830995589041
921,8.49711303920279E-05,0.000136240578853101,0.000170915165857631,0.000189974116960895,0.000181825063042802,0.00019400087360387,0.000206003868021502,0.000213415292059079,0.000223518796555823,0.00023370643631513,0.000231059398801046,0.000232793180272585,0.000320664580688782,0.000334959175075886,0.000333590530726154,0.000335997229002978,0.000333479782934569,0.000346561245958461
922,0.000112163729822049,0.000118378533379539,0.000171480953471255,0.000183171455019191,0.000188293560123578,0.000194324722247595,0.000224846700469676,0.000221807085240742,0.000234596754900328,0.000232498048199441,0.000232458462512739,0.000231584749856236,0.000316863953682265,0.000334602175012469,0.000336415132932874,0.000326234293088108,0.000339104631058832,0.000344172596915228
923,6.99222184128078E-05,0.000129492246154551,0.000162102545396067,0.000168445688476783,0.000182051270736869,0.000190723297267509,0.000206902908603827,0.000212142896366157,0.000216052608597494,0.000213429910904274,0.00022440017768155,0.000226024267455839,0.000322105277845481,0.000311082589619184,0.000317571738550863,0.000328206732633336,0.000315841298835749,0.000323195667624984
924,0.000108666644912835,0.000128681222739908,0.000161413698512631,0.000170833533356644,0.000170343459076086,0.00017168791064222,0.000194800912404971,0.000206929889437088,0.000213258421097539,0.000207918711879277,0.000215981084335548,0.000213130268756605,0.000300583157919155,0.000314205389163759,0.000324491591658359,0.000321875821248853,0.000322937096109407,0.000329165282871183
925,7.81630751597686E-05,0.00015783101633861,0.000208836704444794,0.000213249611598437,0.00023227287868281,0.000234965029587863,0.000253209720203223,0.000256454032281422,0.000275046036227292,0.000285676212886727,0.000274012173289959,0.000277247720905093,0.000368461858746555,0.000383063747208163,0.000368927183839638,0.000383514000016642,0.000373489860200376,0.00039204130702304
926,9.56791819359999E-05,0.000118036627800752,0.000167859992396682,0.000180105421878493,0.000189675491223518,0.000192565294267897,0.000215988375443371,0.000224514329665912,0.000231904562931611,0.000240738044812708,0.000246683289561123,0.000249874791592735,0.000349390411034548,0.000334901534945647,0.000350306626254535,0.000351171357492453,0.000358971337652577,0.000360998323351115
927,6.45937693748967E-05,0.000135275519752193,0.000192760188609809,0.000201953680577931,0.000210009259952878,0.00022503611978087,0.000251405527989198,0.000249754527551278,0.000232480550462069,0.000254249056816269,0.000267292711869363,0.000265952871149788,0.000330347942047552,0.00035912494324343,0.000346441581493078,0.000358333854218101,0.000342321670019142,0.000365136512453789
928,0.000111502117372903,0.00012453910640951,0.000187221166712379,0.00020016746261448,0.000208612643703884,0.000215187442847633,0.000232630787514722,0.000226271488899495,0.000250889494336892,0.000257108394716558,0.000254111717555801,0.000266236671820896,0.000361324996892845,0.000359443400967976,0.000372698716495881,0.000357726093759561,0.000369144512440582,0.000375128777949571
929,8.35047983150093E-05,0.000130767496264255,0.000173820817506403,0.000196093894586922,0.000201682943852947,0.000198669074818831,0.000224548635631186,0.000228518384476428,0.000236823139262498,0.000242337851375454,0.00024321830749778,0.000246444594267702,0.000330541982046677,0.000350188655860302,0.000346197447934331,0.000347812764390759,0.000353759736636169,0.000357258381696501
930,8.09427346341011E-05,0.000137515613679441,0.00018185134381128,0.000200737981892571,0.00018994561727469,0.000222322711128331,0.000234194312207999,0.000240130112747833,0.000230448726840617,0.000252541332058395,0.000259016750829123,0.000256858277905547,0.000374194281423221,0.000366305552030402,0.000361861637187746,0.000377732761625805,0.000372654001805626,0.000382811521445984
931,0.000122602210309461,0.000135698639807241,0.000212016771325815,0.000223149264471296,0.000232461823079551,0.000235250148465522,0.000254561942829323,0.000267423133688266,0.000254220251979532,0.00029371534539318,0.000280327541990045,0.000287501637500907,0.000386516656333909,0.000389691399589959,0.000403074683521948,0.000371538190485643,0.000398971380343701,0.000406793831652759
932,7.82691181788895E-05,0.000128926947371996,0.000187409275292847,0.000210555405774958,0.00020275988344657,0.000219451007446073,0.000230056562786151,0.000245100312480499,0.000233800765557884,0.000270512474662602,0.000264898446998887,0.000264816654672506,0.000367363543147604,0.000357616200328293,0.000370210216567902,0.000366128027108359,0.000375669281193993,0.00037276118134645
933,0.000120724394657704,0.000156450688167908,0.000214784444756228,0.000234992658644583,0.000242498566660258,0.000243653321739592,0.000260974647929611,0.000269057933484953,0.000280537557508926,0.000285801882135304,0.000297349432928649,0.000294462545230313,0.000403217757210265,0.000419787434722799,0.000436769127065954,0.00042861791474124,0.000421145970110252,0.000430655717822419
934,0.000116716785955747,0.000143691302314429,0.000205216546745733,0.00021198605208648,0.000220744312557616,0.000232774433240359,0.000249999916846475,0.000250797959700772,0.000249862074933529,0.000264267675778419,0.000271989981922053,0.000276282205175297,0.000374755062735549,0.000377811843500205,0.000398780934111173,0.000399922256998051,0.000381147495508883,0.000408912212808813
935,0.000101931326842891,0.00013545527963168,0.000216154434037112,0.00024533564549445,0.000245679037161484,0.000246574687591996,0.000275311613954358,0.000285531941198969,0.000286982974028499,0.000306431041264286,0.000315610573146959,0.000309735743544454,0.000408875186976256,0.000420618349702104,0.00043329406272355,0.000443050217726914,0.000431540661973745,0.000429266655300604
936,0.000118984072487616,0.000174974936684396,0.000201182933334454,0.000227203866383605,0.000216813358590526,0.000232096197996101,0.000257157016283391,0.000263099397458227,0.000279307607338674,0.000290381848384355,0.0002658800842622,0.000278869586255583,0.000382127269102913,0.000398534844341386,0.000401539581753227,0.000412095124909504,0.000407354602954253,0.000419381416534887
937,0.000143816109961156,0.000181540577466334,0.000222174917938031,0.000239087341389705,0.000239074344687085,0.000252490655134092,0.000264598011960127,0.000280325878801617,0.000283432964455602,0.000303563983085416,0.000296248696182399,0.00030776934471875,0.000421084033701435,0.000430859258556945,0.000442313831420314,0.000433821196162347,0.000420405104147316,0.000426903455457103
938,0.000145819344344163,0.00020293640630789,0.000267185361562693,0.000280276629162603,0.000308857013377095,0.000305408442884521,0.000341239375308194,0.000352316601738886,0.000341385566531797,0.000370300469348923,0.000374438753940012,0.000372567215683712,0.000480364081465306,0.000485578396344792,0.000495563659278079,0.000517476695439936,0.000517331398352257,0.000514514870191088
